date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:39:43	43986/43986	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Jun%202019%2010:13:38%20GMT	https://demos.freehtml5.co/multipurpose/	C:/Users/hope%20tech/Desktop/buisness%20projects/Acube%20software%20company/charity%20software/charity%20website/demos.freehtml5.co/multipurpose/index.html	(from )
22:39:43	457/457	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2019%20Feb%202024%2019:31:21%20GMT	https://demos.freehtml5.co/robots.txt		(from )
22:39:44	55727/55727	---MCZ	200	added ('OK')	text/css	etag:W/%225cd8a1fa-d9af%22	https://demos.freehtml5.co/multipurpose/assets/css/loader/loaders.css	C:/Users/hope%20tech/Desktop/buisness%20projects/Acube%20software%20company/charity%20software/charity%20website/demos.freehtml5.co/multipurpose/assets/css/loader/loaders.css	(from https://demos.freehtml5.co/multipurpose/)
22:39:45	36657/36657	---MCZ	200	added ('OK')	text/css	etag:W/%225cd8a1fa-8f31%22	https://demos.freehtml5.co/multipurpose/assets/css/font-awesome/font-awesome.css	C:/Users/hope%20tech/Desktop/buisness%20projects/Acube%20software%20company/charity%20software/charity%20website/demos.freehtml5.co/multipurpose/assets/css/font-awesome/font-awesome.css	(from https://demos.freehtml5.co/multipurpose/)
22:39:46	178001/178001	---MCZ	200	added ('OK')	text/css	etag:W/%225cd8a1fa-2b751%22	https://demos.freehtml5.co/multipurpose/assets/css/bootstrap.css	C:/Users/hope%20tech/Desktop/buisness%20projects/Acube%20software%20company/charity%20software/charity%20website/demos.freehtml5.co/multipurpose/assets/css/bootstrap.css	(from https://demos.freehtml5.co/multipurpose/)
22:39:48	31865/31865	---MCZ	200	added ('OK')	text/css	etag:W/%225cd8a1fa-7c79%22	https://demos.freehtml5.co/multipurpose/assets/css/aos/aos.css	C:/Users/hope%20tech/Desktop/buisness%20projects/Acube%20software%20company/charity%20software/charity%20website/demos.freehtml5.co/multipurpose/assets/css/aos/aos.css	(from https://demos.freehtml5.co/multipurpose/)
22:39:48	3124/3124	---MCZ	200	added ('OK')	text/css	etag:W/%225cd8a1fa-c34%22	https://demos.freehtml5.co/multipurpose/assets/css/swiper/swiper.css	C:/Users/hope%20tech/Desktop/buisness%20projects/Acube%20software%20company/charity%20software/charity%20website/demos.freehtml5.co/multipurpose/assets/css/swiper/swiper.css	(from https://demos.freehtml5.co/multipurpose/)
22:39:49	20458/20458	---MCZ	200	added ('OK')	text/css	etag:W/%225cc24828-4fea%22	https://demos.freehtml5.co/multipurpose/assets/css/lightgallery.min.css	C:/Users/hope%20tech/Desktop/buisness%20projects/Acube%20software%20company/charity%20software/charity%20website/demos.freehtml5.co/multipurpose/assets/css/lightgallery.min.css	(from https://demos.freehtml5.co/multipurpose/)
22:39:49	15076/15076	---MCZ	200	added ('OK')	text/css	etag:W/%225cf78ee5-3ae4%22	https://demos.freehtml5.co/multipurpose/assets/css/style.css	C:/Users/hope%20tech/Desktop/buisness%20projects/Acube%20software%20company/charity%20software/charity%20website/demos.freehtml5.co/multipurpose/assets/css/style.css	(from https://demos.freehtml5.co/multipurpose/)
22:39:50	3945/3945	---MCZ	200	added ('OK')	text/css	etag:W/%225cd8a1fa-f69%22	https://demos.freehtml5.co/multipurpose/assets/css/responsive.css	C:/Users/hope%20tech/Desktop/buisness%20projects/Acube%20software%20company/charity%20software/charity%20website/demos.freehtml5.co/multipurpose/assets/css/responsive.css	(from https://demos.freehtml5.co/multipurpose/)
